agglomeration,group,Scale,Efficiency,Integral_50,Integral,vgp_nominal,population,shipments_per_capita,investments_per_capita,employment_rate
Московская,Экономические якоря,1.0,0.9854132247,0.9927066124,0.9941652899,62.1371640109,19.060792,1956.223752481,393.5263054652,28.3968158301
Сургутская,Экономические якоря,0.5334127692,1.0,0.7667063846,0.7200476615,5.4082750751,0.829008,8194.5510227887,984.4034279524,39.2849043676
Санкт-Петербургская,Экономические якоря,0.7363523459,0.6459658063,0.6911590761,0.7001977301,15.6396594587,6.823197,1668.7037065323,229.3952771699,25.2901242629
Набережночелнинская,Экономические якоря,0.3543433982,0.9388120485,0.6465777233,0.5881308583,2.1190144705,0.987694,2530.2077241534,405.7157722938,26.6522829945
Пермская,Экономические якоря,0.3571085066,0.7919938915,0.574551199,0.5310626606,2.1498961024,1.332257,1648.6480326243,272.4850798307,44.023788203
Екатеринбургская,Экономические якоря,0.4756700278,0.5911010998,0.5333855638,0.5218424566,3.9979900823,2.362031,1387.1920758449,200.4964685053,26.5237839808
Нижегородская,Экономические якоря,0.4210409499,0.6067358602,0.513888405,0.495318914,3.0040023904,1.750568,1235.5648065656,186.6643860735,28.5072045188
Казанская,Экономические якоря,0.4441166192,0.5555510274,0.4998338233,0.4886903825,3.3895215995,1.704708,942.4977928771,295.6299067054,25.6469729713
Тульско-Новомосковская,Экономические якоря,0.2775604638,0.6368852188,0.4572228413,0.4212903658,1.4179114799,0.98068,1649.6533150467,175.2367999755,26.8307704858
Иркутская,Экономические якоря,0.2626220334,0.6041132945,0.4333676639,0.3992185378,1.3113010067,1.067126,742.2413460079,433.2016959572,25.1503571275
Ижевская,Экономические якоря,0.2839647595,0.3793566717,0.3316607156,0.3221215244,1.4662313888,1.020073,1069.7257281587,124.4328788234,24.7468563524
Оренбургская,Экономические якоря,0.2624754377,0.3841183289,0.3232968833,0.3111325942,1.3102955447,0.697969,1013.308164546,143.4419508603,24.6998075846
Уфимская,Крупные низкоинтенсивные,0.360420187,0.4429058515,0.4016630193,0.3934144528,2.1874748865,1.552138,1276.6141890734,213.190696317,22.446264443
Самарско-Тольяттинская,Крупные низкоинтенсивные,0.4561080253,0.3241594842,0.3901337548,0.4033286089,3.6090108414,2.707404,957.4485354236,118.941599776,24.0477963392
Краснодарская,Крупные низкоинтенсивные,0.4452768283,0.2911859086,0.3682313684,0.3836404604,3.4101612415,1.752255,621.8903419879,245.5275196818,21.5014367201
Ростовская,Крупные низкоинтенсивные,0.4393241981,0.2683967388,0.3538604684,0.3709532144,3.3055817657,2.122849,651.4922100913,206.1945729536,21.8251510117
Новосибирская,Крупные низкоинтенсивные,0.4336835786,0.2544195963,0.3440515874,0.3619779857,3.209444875,2.270788,717.6549082962,145.637694492,22.8140627835
Челябинская,Крупные низкоинтенсивные,0.3443275325,0.3204826236,0.332405078,0.3347895689,2.0108211457,1.666581,895.8576342224,123.0130590712,24.2462862591
Тюменская,Крупные низкоинтенсивные,0.34083608,0.303592274,0.322214177,0.3259385576,1.9744189862,1.135869,1005.4549421632,162.9757771363,21.7229275559
Воронежская,Крупные низкоинтенсивные,0.2976514253,0.2530587727,0.275355099,0.2798143643,1.5750874594,1.350329,643.1006891654,128.314118263,23.8375240404
Омская,Крупные низкоинтенсивные,0.3255030353,0.2199355036,0.2727192695,0.2832760226,1.8221992184,1.41225,686.6645879979,119.9348429811,22.7911488759
Красноярская,Крупные низкоинтенсивные,0.3554002319,0.1611120736,0.2582561527,0.2776849686,2.1307648134,1.499041,614.6192225563,123.2274020524,21.425898291
Волгоградская,Крупные низкоинтенсивные,0.2927346227,0.1902060441,0.2414703334,0.2517231913,1.5350817993,1.48876,720.4816987291,160.4757348397,20.3988554233
Саратовская,Крупные низкоинтенсивные,0.2629333762,0.1600957648,0.2115145705,0.2217983316,1.3134389864,1.282721,581.6573859787,111.5346626429,21.9909863486
Ставропольская,Крупные низкоинтенсивные,0.286265272,0.0019299441,0.1440976081,0.1725311408,1.4839876779,1.061758,543.899996421,74.0258655927,18.3716063359
Южно-Сахалинская,Высокоинтенсивные узлы,0.256645247,1.0,0.6283226235,0.5539871482,1.2709266633,0.269822,3294.6623518468,973.274907161,33.6510736708
Мурманская,Высокоинтенсивные узлы,0.1626708759,0.8571026397,0.5098867578,0.4404435814,0.7772650428,0.351895,1347.1774202532,646.6548629563,30.4767046988
Альметьевская,Высокоинтенсивные узлы,0.149985285,0.800098714,0.4750419995,0.4100306566,0.7273473482,0.389291,5088.5663228793,322.3714522041,25.0190731355
Липецкая,Высокоинтенсивные узлы,0.1994909568,0.6849089925,0.4421999747,0.3936581711,0.9424116644,0.622739,1955.0204951031,206.5322663267,25.1479351703
Владивостокская,Высокоинтенсивные узлы,0.3302825075,0.5508284068,0.4405554571,0.4185008672,1.8683443875,0.846057,963.1275912852,287.2094551549,25.6199050419
Нижнетагильская,Высокоинтенсивные узлы,0.1786288681,0.6458467755,0.4122378218,0.3655160311,0.8449533956,0.571306,1517.2600263256,160.4332686861,29.018074377
Старооскольская,Высокоинтенсивные узлы,0.1067252154,0.7023848176,0.4045550165,0.3449890563,0.5800104778,0.363393,2013.4755702504,187.4964212299,26.257247663
Хабаровская,Высокоинтенсивные узлы,0.2129894738,0.5917637809,0.4023766274,0.3644991966,1.0113820849,0.69795,617.8322107601,443.8902299592,25.657998424
